sample_id,mutation,percentage,pvalue,condition,rep
Decitabine_1,-12,0,1,Decitabine,1
Decitabine_1,-11,0,1,Decitabine,1
Decitabine_1,-10,0,1,Decitabine,1
Decitabine_1,-9,0,1,Decitabine,1
Decitabine_1,-8,0,1,Decitabine,1
Decitabine_1,-7,0,1,Decitabine,1
Decitabine_1,-6,0,1,Decitabine,1
Decitabine_1,-5,1.9,0.14,Decitabine,1
Decitabine_1,-4,0,1,Decitabine,1
Decitabine_1,-3,0,1,Decitabine,1
Decitabine_1,-2,0,1,Decitabine,1
Decitabine_1,-1,0,1,Decitabine,1
Decitabine_1,0,54.6,0,Decitabine,1
Decitabine_1,1,40.3,1.999999999999999e-206,Decitabine,1
Decitabine_1,2,0,1,Decitabine,1
Decitabine_1,3,0,1,Decitabine,1
Decitabine_1,4,0,1,Decitabine,1
Decitabine_1,5,0,1,Decitabine,1
Decitabine_1,6,0,1,Decitabine,1
Decitabine_1,7,0.3,0.79,Decitabine,1
Decitabine_1,8,0,1,Decitabine,1
Decitabine_1,9,0,1,Decitabine,1
Decitabine_1,10,0,1,Decitabine,1
Decitabine_1,11,0,1,Decitabine,1
Decitabine_1,12,0,1,Decitabine,1
Decitabine_2,-12,0,1,Decitabine,2
Decitabine_2,-11,0,1,Decitabine,2
Decitabine_2,-10,0,1,Decitabine,2
Decitabine_2,-9,0,1,Decitabine,2
Decitabine_2,-8,0,1,Decitabine,2
Decitabine_2,-7,0,1,Decitabine,2
Decitabine_2,-6,0,1,Decitabine,2
Decitabine_2,-5,0.2,0.89,Decitabine,2
Decitabine_2,-4,0.2,0.92,Decitabine,2
Decitabine_2,-3,0,1,Decitabine,2
Decitabine_2,-2,0.3,0.86,Decitabine,2
Decitabine_2,-1,0,1,Decitabine,2
Decitabine_2,0,51.9,2.9999999999999988e-195,Decitabine,2
Decitabine_2,1,40.8,1.5999999999999997e-121,Decitabine,2
Decitabine_2,2,1.1,0.51,Decitabine,2
Decitabine_2,3,0,1,Decitabine,2
Decitabine_2,4,0,1,Decitabine,2
Decitabine_2,5,0,1,Decitabine,2
Decitabine_2,6,0,1,Decitabine,2
Decitabine_2,7,0,1,Decitabine,2
Decitabine_2,8,0,1,Decitabine,2
Decitabine_2,9,0,1,Decitabine,2
Decitabine_2,10,0,1,Decitabine,2
Decitabine_2,11,0,1,Decitabine,2
Decitabine_2,12,0,1,Decitabine,2
Decitabine_3,-12,0,1,Decitabine,3
Decitabine_3,-11,0,1,Decitabine,3
Decitabine_3,-10,0,1,Decitabine,3
Decitabine_3,-9,0,1,Decitabine,3
Decitabine_3,-8,0,1,Decitabine,3
Decitabine_3,-7,0,0.98,Decitabine,3
Decitabine_3,-6,0.7,0.54,Decitabine,3
Decitabine_3,-5,1.7,0.13,Decitabine,3
Decitabine_3,-4,0.3,0.75,Decitabine,3
Decitabine_3,-3,0.4,0.7,Decitabine,3
Decitabine_3,-2,0.8,0.48,Decitabine,3
Decitabine_3,-1,0,1,Decitabine,3
Decitabine_3,0,53.6,0,Decitabine,3
Decitabine_3,1,40.2,1.2999999999999994e-274,Decitabine,3
Decitabine_3,2,0,0.99,Decitabine,3
Decitabine_3,3,0,1,Decitabine,3
Decitabine_3,4,0,1,Decitabine,3
Decitabine_3,5,0,1,Decitabine,3
Decitabine_3,6,0,1,Decitabine,3
Decitabine_3,7,0,1,Decitabine,3
Decitabine_3,8,0,1,Decitabine,3
Decitabine_3,9,0,1,Decitabine,3
Decitabine_3,10,0,1,Decitabine,3
Decitabine_3,11,0,1,Decitabine,3
Decitabine_3,12,0,1,Decitabine,3
Decitabine_NU7441_1,-12,0,1,Decitabine_NU7441,1
Decitabine_NU7441_1,-11,0,1,Decitabine_NU7441,1
Decitabine_NU7441_1,-10,0,1,Decitabine_NU7441,1
Decitabine_NU7441_1,-9,0,1,Decitabine_NU7441,1
Decitabine_NU7441_1,-8,0,1,Decitabine_NU7441,1
Decitabine_NU7441_1,-7,2.7,0.032,Decitabine_NU7441,1
Decitabine_NU7441_1,-6,0.4,0.75,Decitabine_NU7441,1
Decitabine_NU7441_1,-5,1.5,0.23,Decitabine_NU7441,1
Decitabine_NU7441_1,-4,0,1,Decitabine_NU7441,1
Decitabine_NU7441_1,-3,0,1,Decitabine_NU7441,1
Decitabine_NU7441_1,-2,1.1,0.37,Decitabine_NU7441,1
Decitabine_NU7441_1,-1,0,1,Decitabine_NU7441,1
Decitabine_NU7441_1,0,74.3,0,Decitabine_NU7441,1
Decitabine_NU7441_1,1,17,2.2e-41,Decitabine_NU7441,1
Decitabine_NU7441_1,2,0,1,Decitabine_NU7441,1
Decitabine_NU7441_1,3,0,1,Decitabine_NU7441,1
Decitabine_NU7441_1,4,0,1,Decitabine_NU7441,1
Decitabine_NU7441_1,5,0,1,Decitabine_NU7441,1
Decitabine_NU7441_1,6,0,1,Decitabine_NU7441,1
Decitabine_NU7441_1,7,0.8,0.53,Decitabine_NU7441,1
Decitabine_NU7441_1,8,0,1,Decitabine_NU7441,1
Decitabine_NU7441_1,9,0,1,Decitabine_NU7441,1
Decitabine_NU7441_1,10,0,1,Decitabine_NU7441,1
Decitabine_NU7441_1,11,0,1,Decitabine_NU7441,1
Decitabine_NU7441_1,12,0,1,Decitabine_NU7441,1
Decitabine_NU7441_2,-12,0,1,Decitabine_NU7441,2
Decitabine_NU7441_2,-11,0,1,Decitabine_NU7441,2
Decitabine_NU7441_2,-10,0,1,Decitabine_NU7441,2
Decitabine_NU7441_2,-9,0,1,Decitabine_NU7441,2
Decitabine_NU7441_2,-8,0,1,Decitabine_NU7441,2
Decitabine_NU7441_2,-7,1.7,0.26,Decitabine_NU7441,2
Decitabine_NU7441_2,-6,0,1,Decitabine_NU7441,2
Decitabine_NU7441_2,-5,2,0.18,Decitabine_NU7441,2
Decitabine_NU7441_2,-4,0,1,Decitabine_NU7441,2
Decitabine_NU7441_2,-3,0,1,Decitabine_NU7441,2
Decitabine_NU7441_2,-2,0.1,0.95,Decitabine_NU7441,2
Decitabine_NU7441_2,-1,0,1,Decitabine_NU7441,2
Decitabine_NU7441_2,0,72,0,Decitabine_NU7441,2
Decitabine_NU7441_2,1,17.9,9.4e-34,Decitabine_NU7441,2
Decitabine_NU7441_2,2,0.3,0.84,Decitabine_NU7441,2
Decitabine_NU7441_2,3,0,1,Decitabine_NU7441,2
Decitabine_NU7441_2,4,0,1,Decitabine_NU7441,2
Decitabine_NU7441_2,5,0.8,0.57,Decitabine_NU7441,2
Decitabine_NU7441_2,6,0,1,Decitabine_NU7441,2
Decitabine_NU7441_2,7,1.9,0.18,Decitabine_NU7441,2
Decitabine_NU7441_2,8,0,1,Decitabine_NU7441,2
Decitabine_NU7441_2,9,0,1,Decitabine_NU7441,2
Decitabine_NU7441_2,10,0,1,Decitabine_NU7441,2
Decitabine_NU7441_2,11,0,1,Decitabine_NU7441,2
Decitabine_NU7441_2,12,0,1,Decitabine_NU7441,2
Decitabine_NU7441_3,-12,0,1,Decitabine_NU7441,3
Decitabine_NU7441_3,-11,0,1,Decitabine_NU7441,3
Decitabine_NU7441_3,-10,0,1,Decitabine_NU7441,3
Decitabine_NU7441_3,-9,0,1,Decitabine_NU7441,3
Decitabine_NU7441_3,-8,0,1,Decitabine_NU7441,3
Decitabine_NU7441_3,-7,0.1,0.91,Decitabine_NU7441,3
Decitabine_NU7441_3,-6,0.4,0.72,Decitabine_NU7441,3
Decitabine_NU7441_3,-5,1.1,0.38,Decitabine_NU7441,3
Decitabine_NU7441_3,-4,0,1,Decitabine_NU7441,3
Decitabine_NU7441_3,-3,0,1,Decitabine_NU7441,3
Decitabine_NU7441_3,-2,0.5,0.65,Decitabine_NU7441,3
Decitabine_NU7441_3,-1,0,1,Decitabine_NU7441,3
Decitabine_NU7441_3,0,74.4,0,Decitabine_NU7441,3
Decitabine_NU7441_3,1,21,8.999999999999998e-67,Decitabine_NU7441,3
Decitabine_NU7441_3,2,0.2,0.85,Decitabine_NU7441,3
Decitabine_NU7441_3,3,0,1,Decitabine_NU7441,3
Decitabine_NU7441_3,4,0,1,Decitabine_NU7441,3
Decitabine_NU7441_3,5,0,1,Decitabine_NU7441,3
Decitabine_NU7441_3,6,0,1,Decitabine_NU7441,3
Decitabine_NU7441_3,7,0,1,Decitabine_NU7441,3
Decitabine_NU7441_3,8,0,1,Decitabine_NU7441,3
Decitabine_NU7441_3,9,0,1,Decitabine_NU7441,3
Decitabine_NU7441_3,10,0,1,Decitabine_NU7441,3
Decitabine_NU7441_3,11,0,1,Decitabine_NU7441,3
Decitabine_NU7441_3,12,0,1,Decitabine_NU7441,3
Decitabine_NU7441_ssODN_1,-12,0,1,Decitabine_NU7441_ssODN,1
Decitabine_NU7441_ssODN_1,-11,0,1,Decitabine_NU7441_ssODN,1
Decitabine_NU7441_ssODN_1,-10,0,1,Decitabine_NU7441_ssODN,1
Decitabine_NU7441_ssODN_1,-9,0,1,Decitabine_NU7441_ssODN,1
Decitabine_NU7441_ssODN_1,-8,0,1,Decitabine_NU7441_ssODN,1
Decitabine_NU7441_ssODN_1,-7,0.8,0.51,Decitabine_NU7441_ssODN,1
Decitabine_NU7441_ssODN_1,-6,0,1,Decitabine_NU7441_ssODN,1
Decitabine_NU7441_ssODN_1,-5,1.5,0.2,Decitabine_NU7441_ssODN,1
Decitabine_NU7441_ssODN_1,-4,0,1,Decitabine_NU7441_ssODN,1
Decitabine_NU7441_ssODN_1,-3,0,1,Decitabine_NU7441_ssODN,1
Decitabine_NU7441_ssODN_1,-2,0,1,Decitabine_NU7441_ssODN,1
Decitabine_NU7441_ssODN_1,-1,0,1,Decitabine_NU7441_ssODN,1
Decitabine_NU7441_ssODN_1,0,73.3,0,Decitabine_NU7441_ssODN,1
Decitabine_NU7441_ssODN_1,1,19.5,7.199999999999998e-64,Decitabine_NU7441_ssODN,1
Decitabine_NU7441_ssODN_1,2,2.9,0.011,Decitabine_NU7441_ssODN,1
Decitabine_NU7441_ssODN_1,3,0,1,Decitabine_NU7441_ssODN,1
Decitabine_NU7441_ssODN_1,4,0,1,Decitabine_NU7441_ssODN,1
Decitabine_NU7441_ssODN_1,5,0,1,Decitabine_NU7441_ssODN,1
Decitabine_NU7441_ssODN_1,6,0,1,Decitabine_NU7441_ssODN,1
Decitabine_NU7441_ssODN_1,7,0.2,0.83,Decitabine_NU7441_ssODN,1
Decitabine_NU7441_ssODN_1,8,0,1,Decitabine_NU7441_ssODN,1
Decitabine_NU7441_ssODN_1,9,0,1,Decitabine_NU7441_ssODN,1
Decitabine_NU7441_ssODN_1,10,0,1,Decitabine_NU7441_ssODN,1
Decitabine_NU7441_ssODN_1,11,0,1,Decitabine_NU7441_ssODN,1
Decitabine_NU7441_ssODN_1,12,0,1,Decitabine_NU7441_ssODN,1
Decitabine_NU7441_ssODN_2,-12,0,1,Decitabine_NU7441_ssODN,2
Decitabine_NU7441_ssODN_2,-11,0,1,Decitabine_NU7441_ssODN,2
Decitabine_NU7441_ssODN_2,-10,0,1,Decitabine_NU7441_ssODN,2
Decitabine_NU7441_ssODN_2,-9,0,1,Decitabine_NU7441_ssODN,2
Decitabine_NU7441_ssODN_2,-8,0,1,Decitabine_NU7441_ssODN,2
Decitabine_NU7441_ssODN_2,-7,1.5,0.18,Decitabine_NU7441_ssODN,2
Decitabine_NU7441_ssODN_2,-6,0,1,Decitabine_NU7441_ssODN,2
Decitabine_NU7441_ssODN_2,-5,1.4,0.2,Decitabine_NU7441_ssODN,2
Decitabine_NU7441_ssODN_2,-4,0,1,Decitabine_NU7441_ssODN,2
Decitabine_NU7441_ssODN_2,-3,0,1,Decitabine_NU7441_ssODN,2
Decitabine_NU7441_ssODN_2,-2,0.8,0.48,Decitabine_NU7441_ssODN,2
Decitabine_NU7441_ssODN_2,-1,0,1,Decitabine_NU7441_ssODN,2
Decitabine_NU7441_ssODN_2,0,72.1,0,Decitabine_NU7441_ssODN,2
Decitabine_NU7441_ssODN_2,1,17.2,4.699999999999999e-56,Decitabine_NU7441_ssODN,2
Decitabine_NU7441_ssODN_2,2,4.6,1.8e-5,Decitabine_NU7441_ssODN,2
Decitabine_NU7441_ssODN_2,3,0,1,Decitabine_NU7441_ssODN,2
Decitabine_NU7441_ssODN_2,4,0,1,Decitabine_NU7441_ssODN,2
Decitabine_NU7441_ssODN_2,5,0,1,Decitabine_NU7441_ssODN,2
Decitabine_NU7441_ssODN_2,6,0,1,Decitabine_NU7441_ssODN,2
Decitabine_NU7441_ssODN_2,7,0.6,0.54,Decitabine_NU7441_ssODN,2
Decitabine_NU7441_ssODN_2,8,0,1,Decitabine_NU7441_ssODN,2
Decitabine_NU7441_ssODN_2,9,0,1,Decitabine_NU7441_ssODN,2
Decitabine_NU7441_ssODN_2,10,0,1,Decitabine_NU7441_ssODN,2
Decitabine_NU7441_ssODN_2,11,0,1,Decitabine_NU7441_ssODN,2
Decitabine_NU7441_ssODN_2,12,0,1,Decitabine_NU7441_ssODN,2
Decitabine_ssODN_1,-12,0,1,Decitabine_ssODN,1
Decitabine_ssODN_1,-11,0,1,Decitabine_ssODN,1
Decitabine_ssODN_1,-10,0,1,Decitabine_ssODN,1
Decitabine_ssODN_1,-9,0,0.98,Decitabine_ssODN,1
Decitabine_ssODN_1,-8,0,1,Decitabine_ssODN,1
Decitabine_ssODN_1,-7,0.9,0.4,Decitabine_ssODN,1
Decitabine_ssODN_1,-6,0.4,0.7,Decitabine_ssODN,1
Decitabine_ssODN_1,-5,1.7,0.13,Decitabine_ssODN,1
Decitabine_ssODN_1,-4,0,1,Decitabine_ssODN,1
Decitabine_ssODN_1,-3,0,1,Decitabine_ssODN,1
Decitabine_ssODN_1,-2,0,1,Decitabine_ssODN,1
Decitabine_ssODN_1,-1,0,1,Decitabine_ssODN,1
Decitabine_ssODN_1,0,57.1,0,Decitabine_ssODN,1
Decitabine_ssODN_1,1,37.5,8.999999999999997e-254,Decitabine_ssODN,1
Decitabine_ssODN_1,2,0,1,Decitabine_ssODN,1
Decitabine_ssODN_1,3,0,1,Decitabine_ssODN,1
Decitabine_ssODN_1,4,0,1,Decitabine_ssODN,1
Decitabine_ssODN_1,5,0,1,Decitabine_ssODN,1
Decitabine_ssODN_1,6,0,1,Decitabine_ssODN,1
Decitabine_ssODN_1,7,0,0.99,Decitabine_ssODN,1
Decitabine_ssODN_1,8,0,1,Decitabine_ssODN,1
Decitabine_ssODN_1,9,0,1,Decitabine_ssODN,1
Decitabine_ssODN_1,10,0,1,Decitabine_ssODN,1
Decitabine_ssODN_1,11,0,1,Decitabine_ssODN,1
